Page	Comments	Type	Name	Sign	PQ	Symb	Link	Comments	ID		Notes	
139	GENERATE SEGMENT LOCATIONS.					P26			M017R240			
139	BUMP 1W3 AND TEST IF GREATER THAN 1					9-20			M017R250			
139	    IF NOT, GO TEST FLAG.				70	9-2			M017R260			
139	    IF GREATER, COPY 1W4 AND					J120			M017R270			
139					10	Q17			M017R280			
139					11	W4			M017R290			
139	ASSIGN COPY TO PROBLEM COPY.					J11			M017R300			
139					11	W3			M017R310			
139	    LOOP FOR NEXT LEVEL.				11	W4	9-11		M017R320			
139	EXECUTE 'NEW SUBPROBLEM FLAG'		9-2		1	W5			M017R330		PQ=01	
139	    IF YES, GO FINISH IT UP.				70		9-1		M017R340			
139	    ALL DONE,				11	W4			M017R350			
139	ERASE LEFTOVER COPY, QUIT.					J72	J38		M017R360			
140	SET UP DERIVATION ASSOCIATIONS.		9-1		11	W4			M017R370			
140					11	W0			M017R380			
140	      AND				10	/16			M017R390			
140					10	M16			M017R400			
140	FINISH BUILDING THE NEW SUBPROBLEM.					M19			M017R410			
140	    IF NO GOOD, QUIT -.				70	J38			M017R420			
140	    IF GOOD, TRY SUBSTITUTION.					M12			M017R430			
140	     IF PROOF, QUIT+. IF NOT, QUIT-					J38	0		M017R440			
140	9-20 SUBPROCESS--BUMP AND TEST		9-20		10	N2			M017R470			
140	    IF 1W3 GREATER THAN 1.				11	W3			M017R480			
140	TEST IF 1W3 GREATER THAN N2.					J115			M017R490			
140	    IF NO, QUIT SUBPROCESS--.				70	0		NO OUTPUT	M017R500			
140	    IF YES,				10	N1			M017R510			
140					11	W3			M017R520			
140	SUBTRACT 1, QUIT SUBPROCESS+.				11	W3	J111	OUTPUT 1W3	M017R530			
140	9-100 SUBPROCESS FOR SUBSEGMENT		9-100		60	W6		1W6=SEGLOC	M017R540			
140	    REPLACEMENT IN LOCATION (0).				51	W1			M017R550			
140					12	W6			M017R560			
140	CREATE LIST OF FEASIBLE DEFS.					M62			M017R570			
140	SAVE LIST FOR LATER ARASURE.				40	H0			M017R580			
140					10	9-200			M017R590			
140	GENERATE DEFS FOR LEFT SIDE MATCH.					J100			M017R600			
140	    IF MATCHED, GO CLEAN UP.				70	9-101			M017R610			
140	    IF FAILED, ERASE OLD LIST,					J71			M017R620			
140					11	W2			M017R630			
140					12	W6			M017R640			
140	CREATE NEW LIST OF FEASIBLE DEFS.					M62			M017R650			
140	SAVE LIST FOR LATER ERASURE.				40	H0			M017R660			
140					10	9-300			M017R670			
140	GENERATE DEFS FOR RIGHT SIDE MATCH.					J100			M017R680			
140	ERASE LIST AND QUIR + FOR GEN.		9-101			J71	J4		M017R690			
140	9-200 SUBPROCESS, TRY REPLACEMENT		9-200		60	W7		1W7=DEF	M017R700			
140	    BY MATCHING SEGMENT TO				11	W4		1W4=CPROB	M017R710			
140	    LEFT SIDES.				11	W7			M017R720			
140	MAKE FREE VARIABLES DISJOINT.					M110			M017R730			
140	FIND LEFT SEGMENT OF DEF.					P13			M017R740			
140	    IF NONE, QUIT + FOR GEN.				70	J4			M017R750			
140	    IF FOUND,				12	W6			M017R760			
140	MATCH SEGMENT TO LEFT SIDE.					M113			M017R770			
140	    IF NO MATCH, QUIT + FOR GEN.				70	J4			M017R780			
140	    IF MATCHED, SAVE LIST,				60	W8			M017R790			
140					51	W7			M017R800			
140	FIND RIGHT SIDE OF DEF.					P14	9-301		M017R810			
140	9-300 SUBPROCESS, TRY REPLACEMENT		9-300		60	W7		1W7=DEF	M017R820			
140	    BY MATCHING SEGMENT TO				11	W4		1W4=CPROB	M017R830			
140	    RIGHT SIDES.				11	W7			M017R840			
140	MAKE FREE VARIABLES DISJOINT					M110			M017R850			
140	FIND RIGHT SEGMENT OF DEF.					P14			M017R860			
140	    IF NONE, QUIT + FOR GEN.				70	J4			M017R870			
140	    IF FOUND,				12	W6			M017R880			
140	MATCH SEGMENT TO RIGHT SIDE.					M113			M017R890			
141	    IF NO MATCH, QUIT + FOR GEN.				70	J4			M017R900			
141	    IF MATCHED, SAVE LIST,				60	W8		1W8=SUBST	M017R910			
141					51	W7			M017R920			
141	FIND LEFT SIDE OF DEF.					P13			M017R930			
141	    IF NONE, CLEAN UP, QUIT +.		9-301		70	9-302			M017R935			
141	    IF FOUND, COPY IT,					J74			M017R940			
141					12	W6			M017R945			
141	ERASE OLD SEGMENT, AND					J72			M017R950			
141	REPLACE OLD WITH COPY FROM DEF.				21	W6			M017R955			
141					11	W8			M017R960			
141					11	W4			M017R965			
141	SUBSTITUTE IN PROB TEX PER 1W8.					M115			M017R970			
141					10	J4			M017R975			
141	SET 'NEW SUBPROBLEM FLAG' TO ON.				20	W5			M017R980			
141	    SET H5 TO QUIT-.					J4			M017R985			
141			9-302		11	W8			M017R990			
141	ERASE 1W8, REVERSE H5 FOR GEN.					J72	J5		M017R995			
141		1							    R			
141	M19 FINISH BUILDING NEW SUBPROBLEM		M19			J53		1W3=NEWTEX	M019R000			
141	   (3) FROM (2) VIA THM(1) BY				11	W3		1W2=PROBLM	M019R010			
141	   METHOD (0). MEASURE UTILITY.				11	W2		1W1=THM	M019R020			
141	   H5-, NO OUTPUT,TEX ERASED.				10	Q10		1W0=METHOD	M019R030			
141	   H5+ MEANS OUTPUT (0) IS OK.					J11			M019R040			
141					11	W3			M019R050			
141	FILL				11	W0			M019R060			
141	QUT				10	Q11			M019R070			
141	DESCRIPTION.					J11			M019R080			
141					11	W3			M019R090			
141					11	W1			M019R100			
141					10	Q12			M019R110			
141						J11			M019R120			
141					11	W3			M019R130			
141	MARK LOCAL FOR FOUND LIST.					J136			M019R135			
141	EVALUATE UTILITY.					M43			M019R140			
141					11	W3			M019R150			
141	     IF N.G., REJECT IT.				70	9-1			M019R160			
141	     IF O.K., ADD TO UNTRIED LIST.					M51			M019R170			
141					11	W3			M019R180			
141	QUIT +, OUTPUT NEW PROBLEM.					J33	J4		M019R190			
141			9-1		11	K31			M019R200			
141					10	Y			M019R210			
141	TEST IF PRINTING REJECTS.					J2			M019R220			
141	     IF NO, SKIP IT.				70	9-2			M019R230			
141	     IF YES, PRINT IT.					M81			M019R240			
141					11	W3			M019R250			
141	ERASE N. G. SUBPROBLEM.		9-2			J72			M019R260			
141	QUIT -.					J33	J3		M019R270			
141		1							    R			
141	M40 TEST IF TOTAL EXPRESSIONS		M40			J51		1W0=TEX1	M040R000			
141	    (0) AND (1) MATCH.				11	W1		1W1=TEX2	M040R010			
141	FIND MAIN SEGMENT.					J81			M040R020			
142					70	9-0			M040R030			
142					11	W0			M040R040			
142	FIND MAIN SEGMENT.					J81			M040R050			
142					70	9-1			M040R060			
142	TEST IF SEGMENTS MATCH.					M41	J31		M040R070			
142	TEST IF OTHER MAIN SEGMENT		9-0		11	W0			M040R080			
142	EXISTS.					J81			M040R090			
142						J5			M040R100			
142	NO, QUIT W/H5+ FOR MATCH				70	9-1	J31		M040R110			
142	YES, QUIT W/H5- FOR NO MATCH.		9-1		30	H0	J31		M040R120			
142		1							    R			
142	M41 TEST IF SEGMENTS (0) AND (1)		M41			J51		1W0=SEG1	M041R000			
142	    MATCH.				11	W0		1W1=SEG2	M041R010			
142	TEST IF 1ST IS VARIABLE.					P8			M041R020			
142	    IF NOT, EXAMINE SUBSEGMENTS.				70	9-1			M041R030			
142	    IF YES,				11	W0			M041R040			
142					11	W1			M041R050			
142	TEST IF SAME VARIABLE.					J2			M041R060			
142	    IF YES, QUIT, H5+.				70		J31		M041R070			
142	    IF NO,				11	W1			M041R080			
142	TEST IF 2ND IS FREE VARIABLE.					P9			M041R090			
142	    IF NO, QUIT, H5-.				70	J31			M041R100			
142	    IF YES,				11	W0			M041R110			
142	TEST IF 1ST IS FREE VARIABLE.					P9	J31		M041R120			
142	EXAMINE SUBSEGMENTS.		9-1		11	W1			M041R130			
142	TEST IF NOT SEGMENT.					P8			M041R140			
142	    IF NOT, QUIT, H5-				70		9-2		M041R150			
142	    IF YES,				12	W0			M041R160			
142					12	W1			M041R170			
142	TEST IF SAME CONNECTIVES.					J2			M041R180			
142	    IF NOT, QUIT, H5-				70	J31			M041R190			
142	    IF YES,				11	W0			M041R200			
142	FIND LEFT SUBSEGMENT.					J81			M041R210			
142	    IF NONE, CHECK OTHER SIDE.				70	9-3			M041R220			
142					11	W1			M041R230			
142	FIND OTHER LEFT SUBSEGMENT.					J81			M041R240			
142	    IF NONE, QUIT, H5-.				70	9-7			M041R250			
142	TEST IF LEFT SEGMENTS MATCH.					M41			M041R260			
142	    IF NOT, QUIT, H5-				70	J31			M041R270			
142					11	W0			M041R280			
142	FIND RIGHT SUBSEGMENT.					J82			M041R290			
142	    IF NONE, CHECK OTHER SIDE.				70	9-4			M041R300			
142					11	W1			M041R310			
142	FIND OTHER RIGHT SUBSEGMENTS.					J82			M041R320			
142	    IF NONE, QUIT, H5-				70	9-7			M041R330			
142	TEST IF RIGHT SEGMENTS MATCH,					M41	J31	AND QUIT.	M041R340			
142	QUIT, REVERSE H5.		9-2			J5	J31		M041R350			
142	NO FIRST SEGMENT ON 1W0,		9-3		11	W1			M041R360			
142	FIND FIRST SEGMENT ON 1W1.					J81			M041R370			
142	    IF NONE, H5+. ELSE H5-.		9-5		70	9-2	9-6		M041R380			
142	NO SECOND SEGMENT ON 1W0,		9-4		11	W1			M041R390			
143	FIND SECOND SEGMENT ON 1W1.					J82	9-5		M041R400			
143	REVERSE H5 AND		9-6			J5			M041R410			
143	QUIT, DISCARD (0).		9-7		30	H0	J31		M041R420			
143		1							    R			
143	M42 ADD PROBLEM (0) TO FOUND LIST.		M42			J42			M042R000			
143	    IF CANNOT, SET H5 -.				60	W0		1W0=PROB	M042R010			
143					50	L11			M042R030			
143					11	W0			M042R040			
143	GET NUMBER OF LEVELS					Q2			M042R050			
143	    IF NONE, QUIT -.				70	9-300			M042R055			
143	GET SUBLIST					9-100			M042R060			
143					11	W0			M042R070			
143	GET NUMBER OF DISTINCT VARIABLES					Q3			M042R080			
143	    IF NONE, QUIT -.				70	9-300			M042R085			
143	GET SUBLIST					9-100			M042R090			
143					11	W0			M042R100			
143	GET NUMBER OF VARIABLE PLACES					Q4			M042R110			
143	    IF NONE, QUIT -.				70	9-300			M042R115			
143	GET SUBLIST					9-100			M042R120			
143					40	H0			M042R130			
143					10	9-200			M042R140			
143	GENERATE SUBLIST FOR MATCH					J100			M042R150			
143					70	9-1			M042R160			
143	INSERT AT END OF LIST				11	W0			M042R170			
143						J32	J65		M042R180			
143			9-1		30	H0	J32		M042R190			
143	9-200 SUBPROCESS.		9-200		11	W0			M042R200			
143	COMPARE EXPRESSIONS					M40	J5		M042R210			
143	9-100 SUBPROCESS, GET SUBLIST.		9-100		64	W1		1W1=D.T.	M042R220			
143	LOCATE SUBLIST.					P55			M042R230			
143					70		J80		M042R240			
143					40	H0			M042R250			
143	CREATE NEW SUBLIST.					J90			M042R260			
143						J136			M042R270			
143	SAVE SUBLIST FOR OUTPUT.				60	W2		1W2=SUBLST	M042R280			
143	INSERT NEW SUBLIST.					J64			M042R290			
143					11	W1			M042R300			
143	COPY DATA TERM.					J120			M042R310			
143	MARK LOCAL.					J136			M042R320			
143	INSERT BEFORE NEW SUBLIST.					J64			M042R330			
143	GET SUBLIST AND QUIT.				11	W2	0		M042R340			
143			9-300		30	H0	J32		M042R350			
143		1							    R			
143	M43 MEASURE UTILITY SUBPROBLEM (0).		M43			J43			M043R000			
143	    SET H5+ IF GOOD, H5- IF N.G.				60	W0		1W0=PROB	M043R010			
143	FIND MEX.					J81			M043R020			
143					70	J33			M043R030			
143	GO THRU 'NOTS'					P4			M043R040			
143					70	J33			M043R045			
143	SAVE UNNOTTED MEX.				60	W1		1W1=MEX	M043R050			
143	TEST IF VARIABLE					P8			M043R060			
144						J5			M043R070			
144	IF H5-, QUIT (VARIABLE ONLY)				70	J33			M043R080			
144					12	W1		2W1=MCONN	M043R090			
144					11	K1		1K1='OR'	M043R100			
144	TEST IF MAIN CONNECTIVE 'OR'					J2			M043R110			
144	IF NOT 'OR', LOOK ON FOUND LIST				70	9-10			M043R120			
144					11	W1			M043R130			
144	LOCATE RIGHT SIDE					J60			M043R140			
144					70	9-0			M043R150			
144	GET RIGHT SIDE				12	H0			M043R160			
144						J6			M043R170			
144	LOCATE LEFT SIDE					J60			M043R180			
144					70	9-1			M043R190			
144	GET LEFT SIDE				52	H0			M043R200			
144	TEST IF SIDES MATCH.					M114			M043R210			
144						J5			M043R220			
144	IF SAME QUIT W/H5-				70	J33			M043R230			
144			9-10		11	W0			M043R240			
144	ADD TO FOUND LIST IF CAN					M42	J33		M043R260			
144			9-1		30	H0			M043R270			
144			9-0		30	H0	J33		M043R280			
144		1							    R			
144	M50 ADD TEX(0) TO TRUE EXPRESSIONS		M50		40	H0			M050R000			
144	   LIST AND TRUE EXPRESSIONS MAP.					J50			M050R010			
144	   MAKE ALL VARIABLES FREE.					P27			M050R020			
144					10	L1			M050R030			
144					11	W0			M050R040			
144	ADD TO LIST					J65			M050R050			
144					10	L4			M050R060			
144					11	W0			M050R070			
144	ADD TO MAP					M54			M050R080			
144					11	W0			M050R090			
144	PRINT EXPRESSION AND QUIT.					M70	J30		M050R100			
144		1							    R			
144	M51 PRINT NEW SUBPROBLEM (0) AND		M51			J41			M051R000			
144	    ADD TO UNTRIED SUBPROBLEM LIST.				60	W0		1W0=PROB	M051R010			
144					10	K10			M051R020			
144	TALLY PREVIOUS SUBPROBLEM NUMBER.					J125			M051R030			
144						J120			M051R040			
144						J136			M051R050			
144					10	Q8			M051R060			
144	ASSIGN PROBLEM NO.					J11			M051R070			
144					10	L10			M051R080			
144					11	W0			M051R110			
144	FIND NO. OF LEVELS					Q2			M051R120			
144	    IF NONE, QUIT -.				70	9-3			M051R125			
144					60	W1		1W1=LEVELS	M051R130			
144	LOCATE CORRESPONDING LIST.					P55			M051R140			
144					70	9-1			M051R150			
144	GET LIST.				52	H0			M051R160			
144					11	W0			M051R170			
145	ADD NEW SUBPROBLEM.					J65	9-2		M051R190		180 IS MISSING RIGHT AT THE END OF PAGE 144 - HOPE IT'S NOT A PRINTING ERROR	
145			9-1		40	H0			M051R200			
145					11	W0			M051R210			
145	CREATE LIST OF ONE SUBPROBLEM.					J91			M051R223			
145						J136			M051R226			
145	INSERT NEW LIST.					J64			M051R230			
145					11	W1			M051R240			
145	COPY LEVEL DATA TERM.					J120			M051R250			
145						J136			M051R260			
145	INSERT BEFORE NEW LIST.					J64	9-2		M051R270			
145			9-2		11	W0			M051R280			
145	PRINT NEW SUBPROBLEM.					M75	J31		M051R290			
145			9-3		30	H0	J31		M051R300			
145		1							    R			
145	M54 ADD TOTAL EXPRESSION (0) TO		M54		40	W0			M054R000			
145	   MAP OF TRUE EXPRESSIONS (1).				60	W0		1W0=THMNAM	M054R010			
145						J81			M054R020			
145					70	9-0		(0)=MEX	M054R030			
145						J6			M054R040			
145	ADD MAIN SEGMENT (1) TO MAP (0).					9-100	J30		M054R050			
145			9-0		30	H0	J30		M054R060			
145	9-100 SUBPROCESS, ADD SEGMENT (1)		9-100		4	J43		1W0=THMNAM	M054R070		PQ=04	
145	                  TO MAP (0).				20	W1		1W1=MAP	M054R080			
145					60	W2		1W2=SEGMNT	M054R090			
145	TEST IF SIMPLE VARIABLE.					P8			M054R100			
145	   IF NO, CONTINUE DOWN MAP.				70	9-102			M054R110			
145	   IF YES, ADD THMNAME.				11	W1			M054R120			
145	TEST IF NAME LIST IN MAP HEAD.					J79			M054R130			
145	   IF NO, GO MAKE ONE.				70	9-101			M054R140			
145	   IF YES,				12	W1			M054R150			
145					11	W0			M054R160			
145	INSERT NAME AND QUIT.					J64	J33		M054R170			
145			9-101		11	W0			M054R180			
145	CREATE LIST OF ONE NAME.					J91			M054R190			
145						J136			M054R200			
145	PLACE IN MAP HEAD AND QUIT.				21	W1	J33		M054R210			
145	INPUT MAP HOLDER.		9-102		10	W1			M054R220			
145	INPUT SEGMENT CONNECTIVE.				12	W2			M054R230			
145	FIND SUBMAPS LIST.					J10			M054R240			
145	   IF FOUND, CONTINUE.				70		9-110		M054R250			
145	   IF NONE,				10	W1			M054R260			
145						J90			M054R270			
145	CREATE 1ST LOCAL SUBMAP.					J136			M054R280			
145					12	W2			M054R290			
145	TEST IF 2ND SUBLIST NEEDED.					P6			M054R300			
145	   IF NO, SKIP IT.				70	9-111			M054R310			
145	   IF YES,				40	H0			M054R320			
145	CREATE 2ND LOCAL SUBMAP.					J120			M054R330			
145						J92	9-112		M054R340			
145	CREATE SUBMAP LIST.		9-111			J91			M054R350			
145			9-112			J136			M054R360			
146					60	W3		1W3=MAPLST	M054R370			
146					12	W2			M054R380			
146	ASSIGN AS SUBMAP LIST OF CONNECTIVE					J11			M054R390			
146					11	W3	9-110		M054R400		UNUSUAL TO SEE AN EXPLICIT LINK TO THE NEXT LINE	
146			9-110		20	W3		1W3=MAPLST	M054R410			
146					11	W2			M054R420			
146	FIND 1ST SUB SEGMENT.					J81			M054R430			
146	   IF NONE, QUIT.				70	J33			M054R440			
146					11	W3			M054R450			
146	FIND 1ST SUB MAP.					J81			M054R460			
146	   IF NONE, QUIT.				70	9-114			M054R470			
146	ADD SEGMENT (1) TO SUBMAP (0).					9-100			M054R480			
146					12	W2			M054R490			
146	TEST IF MORE SEGMENTS.					P6			M054R500			
146	   IF NO, QUIT.				70	J33			M054R510			
146					11	W2			M054R520			
146	FIND 2ND SUBSEGMENT.					J82			M054R530			
146	   IF NONE, QUIT.				70	J33			M054R540			
146					11	W3			M054R550			
146	FIND 2ND SUBMAP.					J82			M054R560			
146	   IF NONE, QUIT.				70	9-114			M054R570			
146	ADD SEGMENT (1) TO SUBMAP (0).					9-100	J33		M054R580			
146			9-114		30	H0	J33		M054R600			
146		1							    R			
146	M60 FIND NEXT UNTRIED PROBLEM.		M60		10	L10			M060R000			
146	     H5 - MEANS NONE REMAINING.		9-1			J60			M060R010			
146	LOCATE NEXT SUBLIST OF PROBLEMS.					J60			M060R020			
146	     IF NONE, QUIT -.				70	J8			M060R030			
146	     IF SOME, GET SUBLIST AND				12	H0			M060R040			
146	FIND FIRST PROBLEM.					J81			M060R050			
146	     IF NONE, LOCATE NEXT LIST.				70	9-1			M060R060			
146	     IF FOUND,GET LOCATION OF LIST,					J6			M060R070			
146	GET NAME OF LIST, AND				52	H0			M060R080			
146	LOCATE FIRST PROBLEM.					J60			M060R090			
146	     IF NONE, MACHINE ERROR--HALT.				70	J7			M060R100		DID THE MACHINE MAKE MISTAKES?	
146	     IF LOCATED, DELETE FROM LIST,					J68			M060R110			I'LL BET IT DID - JEFF
146	MARK OUTPUT REGIONAL, QUIT+.					J138	J4		M060R120			
146		1							    R			
146	M62 CREATE A LIST OF TRUE		M62			J45			M062R000			
146	    EXPRESSIONS FROM MAP (1) FOR				20	W0		1W0=SEG	M062R010			
146	    FEASIBLE MATCH WITH SEGMENT				60	W1		1W1=MAP	M062R020			
146	    (0).  OUTPUT MAY BE EMPTY.				52	W1			M062R030			
146						J73			M062R040			
146	SAVE COPY OF LIST IN MAP HEAD.				60	W2		1W2=THMLST	M062R050			
146					11	W0			M062R060			
146	TEST IF SEGMENT IS SIMPLE VAR.					P8			M062R070			
146	    IF YES, QUIT WITH OUTPUT.				70		J35		M062R080			
146	    IF NO,				51	W0			M062R090			
146	LOCATE 1ST SUBSEGMENT.					J60			M062R100			
146	    IF NONE, OUTPUT 1W2, QUIT.				70	9-1			M062R110			
146					60	W3		1W3=SEGLOC	M062R120			
147					50	W1			M062R130			
147					12	W0			M062R140			
147	FIND LIST OF APPROPRIATE SUBMAPS.					J10			M062R150			
147	    IF NONE, OUTPUT 1W2, QUIT.				70	9-0			M062R160			
147	LOCATE 1ST SUBMAP.					J60			M062R170			
147	    IF NONE, OUTPUT 1W2, QUIT.				70	9-1			M062R180			
147	    IF THERE, SAVE LOCATION,				60	W4		1W4=MAPLOC	M062R190			
147					52	W4			M062R200			
147	SET UP H0 AND				12	W3			M062R210			
147	CREATE LIST FROM MAP (1) FOR (0).					M62			M062R220			
147					12	W0			M062R230			
147	TEST IF CONNECTIVE WAS NON-UNARY.					P6			M062R240			
147	    IF UNARY, FIX OUTPUT, QUIT.				70	9-2			M062R250			
147	    IF NON-UNARY, SAVE LIST AND				60	W5		1W5=ANDLST	M062R260			
147			9-4		51	W3			M062R270			
147	LOCATE NEXT SUBSEGMENT.					J60			M062R280			
147					60	W3			M062R290			
147	    IF NONE, FIX OUTPUT, QUIT.				70	9-3			M062R300			
147					51	W4			M062R310			
147	LOCATE NEXT SUBMAP.					J60			M062R320			
147					60	W4			M062R330			
147	    IF NONE, FIX OUTPUT, QUIT.				70	9-3			M062R340			
147					52	W4			M062R350			
147					12	W3			M062R360			
147	CREATE LIST FROM MAP (1) FOR (0),					M62			M062R370			
147	AND' RESULT WITH LIST 1W5, LOOP.					9-100	9-4		M062R380		LEADING SINGLE QUOTE IN COMMENT NOT SHOWING BUT SEEMS TO BE PRESENT	
147			9-3		51	W5			M062R390			
147	FIX OUTPUT - - -		9-2		11	W2			M062R400			
147	OR' W5 WITH 1W2,					J6			M062R410		LEADING SINGLE QUOTE IN COMMENT...	
147	LEAVE RESULT AS 1W2.					J76			M062R420			
147	OUTPUT 1W2, CLEAR CONTEXT.		9-1		51	W2	J35		M062R430			
147			9-0		11	W2	J35		M062R440			
147	SUBPROCESS - 'AND' (0) WITH 1W5.		9-100		11	W5			M062R450			
147					10	9-200			M062R460			
147	GENERATE 1W5 FOR PROCESS MARKING.					J100			M062R470			
147					40	H0			M062R480			
147					10	9-300			M062R490			
147	GENERATE '(0)' TO UNMARK MARKED.					J100			M062R500			
147	ERASE '(0)'					J71			M062R510			
147					11	W5			M062R520			
147	LOCATE NEXT OF 1W5.		9-101			J60			M062R530			
147	    IF NONE, QUIT SUBPROCESS.				70	0			M062R540			
147			9-102		12	H0			M062R550			
147	TEST IF EXPRESSION MARKED.					J133			M062R560			
147	    IF NO, LOOP TO NEXT.				70	9-101			M062R570			
147	    IF YES, UNMARK IT,				32	H0			M062R580			
147	SAVE LOCATION AND DELETE THIS				40	H0			M062R590			
147	EXPRESSION DUE NOT ON BOTH LISTS.					J68			M062R600			
147	    IF MORE, LOOP WITH NEXT.				70	0	9-102		M062R610			
147	SUBPROCESS - MARK PROCESSED.		9-200			J137	J8		M062R620			
147	SUBPROCESS - UNMARK IF MARKED.		9-300		40	H0			M062R630			
148						J133			M062R640			
148					70	9-201			M062R650			
148					31	H0	J8		M062R660			
148			9-201		30	H0	J4		M062R670			
148		1							    R			
148	M63 CREATE A LIST OF TRUE		M63			J6			M063R000			
148	    EXPRESSIONS FROM MAP (0) FOR					J81			M063R010			
148	    FEASIBLE MATCH WITH TEX (1).				70		M62		M063R020			
148	    OUTPUT MAY BE AN EMPTY LIST.				30	H0	J90		M063R030			
148		1							    R			
148	M70 PRINT EXPRESSION (0), WITH OR		M70			J154			M070R000			
148	    WITHOUT A SUFFIX.				40	H0			M070R010			
148	ENTER NAME.					M79			M070R020			
148					10	N8			M070R030			
148	TAB TO COLUMN (0).					J160			M070R040			
148					40	H0			M070R050			
148	FIND MEX.					J81			M070R060			
148	     IF NONE, SKIP IT.				70	9-1			M070R070			
148	ENTER MEX.					M73			M070R080			
148	FIND SUFFIX.		9-1			Q18			M070R090			
148	     IF NONE, PRINT WITHOUT IT.				70	J155			M070R100			
148					10	N1			M070R110			
148	BUMP COLUMN.					J161			M070R120			
148	ENTER SUFFIX AND PRINT.					J157	J155		M070R130			
148		1							    R			
148	M71 PRINT PROOF SEQUENCE FROM (0).		M71			J50		1W0=TEX	M071R000			
148						J154			M071R010			
148						J155			M071R020			
148	SKIP TWO LINES.					J155			M071R030			
148					10	T2			M071R040			
148	ENTER 'PROOF FOUND' AND					M76			M071R050			
148	PRINT.					J155			M071R060			
148						J154			M071R070			
148	SKIP ONE LINE.					J155			M071R080			
148					11	W0			M071R090			
148	FIND PROVING THEOREM.					Q13			M071R100			
148					70		9-1		M071R110			
148	      IF NONE, USE DUMMY CHARACTER.				10	/14			M071R120			
148	ENTER 'GIVEN'.		9-1		10	T1			M071R130			
148	PRINT FIRST LINE OF PROOF.					M80			M071R140			
148	INPUT TEX AND				11	W0			M071R150			
148	SUBSTITUTION'.				10	T3			M071R160		LEADING SINGLE QUOTE...	
148	PRINT NEXT EVEN LINE.		9-6			M80			M071R170			
148					11	W0			M071R180			
148	FIND THEOREM USED IN DERIVATION.					Q12			M071R190			
148	     IF NONE, FINISH WITH Q.E.D.				70	9-2			M071R200			
148					10	T1			M071R210			
148	PRINT NEXT ODD LINE.					M80			M071R220			
148					11	W0			M071R230			
148	FIND METHOD OF DERIVATION					Q11			M071R240			
148					70	9-3			M071R250			
149	FIND EXTERNAL NAME OF METHOD.					Q16			M071R260			
149					70		9-4		M071R270			
149	     IF NONE, USE BLANKS.		9-3		10	T5			M071R280			
149			9-4		11	W0			M071R290			
149	FIND PROBLEM USED IN DERIVATION.					Q10			M071R300			
149					70		9-5		M071R310			
149	      IF NONE, USE DUMMY CHARACTER.				10	/14			M071R320			
149			9-5		60	W0			M071R330			
149	LOOP TO PRINT NEXT EVEN LINE.					J6	9-6		M071R340			
149			9-2			J154			M071R350			
149					10	K41			M071R360			
149	TAB TO COLUMN K41.					J160			M071R370			
149					10	T4			M071R380			
149	ENTER 'Q.E.D. AND					M76			M071R390			
149	PRINT.					J155			M071R400			
149	PRINT LIMITS, CLEAR CONTEXT/QUIT.					M77	J30		M071R410			
149		1							    R			
149	PRINT -NO PROOF FOUND-		M72			J154			M072R000			
149					10	T6			M072R010			
149	ENTER MESSAGE					M76			M072R020			
149	PRINT MESSAGE, LIMITS					J155	M77		M072R030			
149		1							    R			
149	ENTER SEGMENT (0)		M73		40	H0			M073R000			
149	TEST IF VARIABLE					P8			M073R010			
149	IF YES, ENTER VARIABLE.				70		M79		M073R020			
149					12	H0			M073R030			
149					11	K2			M073R040			
149	TEST IF CONNECTIVE NOT					J2			M073R050			
149					70	9-1			M073R060			
149					12	H0			M073R070			
149	ENTER NOT.					M79			M073R080			
149						J81			M073R090			
149					70	J7	9-200		M073R095			
149					70	0	9-200		M073R100			
149			9-1			J41			M073R110			
149					60	W0		1W0=SEG	M073R120			
149	LOCAT FIRST SEGMENT.					J60			M073R130			
149					20	W1		1W1=LOC'N	M073R140			
149	IF NONE, QUIT.				70	J31			M073R150			
149					12	W1		2W1=SUBSEG	M073R160			
149	ENTER SEGMENT.					9-200			M073R170			
149					11	W1			M073R180			
149	LOCATE NEXT SUBSEGMENT.		9-2			J60			M073R190			
149					20	W1			M073R195			
149	IF NONE, QUIT.				70	J31			M073R200			
149					12	W0		2W0=CONN	M073R205			
149	ENTER CONNECTIVE.					M79			M073R210			
149					12	W1			M073R215			
149	ENTER SEGMENT.					9-200			M073R220			
149					11	W1	9-2		M073R225			
149			9-200		40	H0			M073R230			
												
	ANT: INSERT HOWEVER MANY LINES YOU NEED AHEAD OF THIS ONE IN ORDER TO ADD NEW PAGES. THERE ARE 51 LINES PER PAGE (I'M NOT SURE IF THAT'S EVERY PAGE, BUT SEEMS CONSISTENT SO FAR) SO IF YOU SELECT THE CONTENTS OF THE PREVIOUS PAGE AND THEN CLICK INSERT IT WILL CONVENIENTLY OFFER TO INSERT 51 LINES. (INCIDENTALLY, HAVING 51 LINES PER PAGE IS A SIMPLE FIRST-ORDER CHECK!)											
												
												
160					70	J9	0		M117R030			
160		1							R			
160	P2 TEST IF IS A BOUND VARIABLE.		P2			Q9			P002R000			
160					70	0	J8		P002R010			
160		1							R			
160	CLEAR DESCRIPTIONS OF TOTAL		P3		40	H0			P003R000			
160	EXPRESSION (0)				10	Q2			P003R010			
160						J14			P003R020			
160					40	H0			P003R030			
160					10	Q3			P003R040			
160						J14			P003R050			
